HOSPITAL NAME,CITY
Al Kareem Hospital,Nankana-Sahib
Dhq Hospital Nankana,Nankana-Sahib
Basic Health Unit Hospital,Nankana-Sahib
Umar Hospital,Nankana-Sahib
Iftikhar Orthopedic & Gynae Hospital Nankana Sahib,Nankana-Sahib
Civil Hospital,Nankana-Sahib
Dr Aslam Falaj Clinic,Pindi-Bhattian
Al Baseer Trust Hospital,Pindi-Bhattian
Hussain Tariq Surgical Hospital Pindi Bhattian,Pindi-Bhattian
Sheharyar Medical Clinic,Qila-Saifullah
Physio Optimum Clinic,Rahim-Yar-Khan
Al-Huda Laser Eye Center,Rahim-Yar-Khan
Dr Nasir Surgical Clinic,Rahim-Yar-Khan
Hamdani Hospital,Rahim-Yar-Khan
The Children Complex Hospital,Rahim-Yar-Khan
Shaikh Zaid Medical College And Hospital,Rahim-Yar-Khan
Abdullah Neurosurgery Clinic,Rahim-Yar-Khan
Faiz Eye Center,Rahim-Yar-Khan
Khattak Medical Complex Hospital,Rahim-Yar-Khan
Lala Medical Complex Hospital,Rahim-Yar-Khan
Rehmat Clinic & Diagnostic Center,Rahim-Yar-Khan
Fatima Medicare Hospital,Rahim-Yar-Khan
Ryk Hospital,Rahim-Yar-Khan
The Mind Clinic For Psychological Services,Rahim-Yar-Khan
Mukhtar Ortho Clinic,Rahim-Yar-Khan
Signature Skin And Laser Clinic,Rahim-Yar-Khan
(Ryk) Rahim Yar Khan Hospital,Rahim-Yar-Khan
Healthy Mindcare Centre,Rahim-Yar-Khan
Bilqees Memorial Hospital,Rahim-Yar-Khan
Shahjahan Clinic,Rahim-Yar-Khan
Tahir Physiotherapist Clinic,Rahim-Yar-Khan
Sajid Surgical Hospital,Rahim-Yar-Khan
Amir Ortho Clinic,Rahim-Yar-Khan
New Hamza Hospital,Rahim-Yar-Khan
Amna Jamal Medical Complex Hospital,Rahim-Yar-Khan
Al Basarat Hospital,Rahim-Yar-Khan
Al Hayat Hospital,Rahim-Yar-Khan
Dr Afzal Sheikh Clinic,Rahim-Yar-Khan
Shaf Clinic,Rahim-Yar-Khan
Zainab Hospital,Rahim-Yar-Khan
Alrehman Clinic,Rahim-Yar-Khan
Pakistan Medical Centre,Rahim-Yar-Khan
Al Rahman Clinic,Rahim-Yar-Khan
Nisar Medical Complex Hospital,Rahim-Yar-Khan
Health Solutions Hospital,Rahim-Yar-Khan
Azam Clinic,Rahim-Yar-Khan
Huzaifa Clinic,Rahim-Yar-Khan
Haris Children Clinic,Rahim-Yar-Khan
Qasim Hospital (Health Card),Rahim-Yar-Khan
Fatima Skin & Laser Clinic,Rahim-Yar-Khan
Muslim Clinic,Rahim-Yar-Khan
Qazi Shafiq Ahmed Memorial Clinic,Rahim-Yar-Khan
Umer Clinic,Rahim-Yar-Khan
Al-Saeed Medical Complex Hospital,Rahim-Yar-Khan
Shahab Dental Clinic,Rahim-Yar-Khan
Fareed Ud Din Clinic,Rahim-Yar-Khan
Aleesha Dental Clinic,Rahim-Yar-Khan
Shifa Welfare Hospital,Rahim-Yar-Khan
Fatima Medical Center & Clinical Lab,Rahim-Yar-Khan
Muslim Clinic And Laboratory,Rahim-Yar-Khan
Waleed Dental Clinic,Rahim-Yar-Khan
Smile Dental Care Hospital,Rahim-Yar-Khan
Abdullah & Amna Medical Complex Hospital,Rahim-Yar-Khan
Family Hospital,Rahim-Yar-Khan
Noor Hospital,Rahim-Yar-Khan
Shifa General Clinic,Rahim-Yar-Khan
Dr Irfan Ahmed Clinic Ryk,Rahim-Yar-Khan
Sayyad Clinic,Rahim-Yar-Khan
Azad Medical Complex Hospital,Rahim-Yar-Khan
Hameed Hospital,Rahim-Yar-Khan
Masood Ahmad Clinic,Rahim-Yar-Khan
Al Azeez Hospital,Rahim-Yar-Khan
Al Jannat Medi Care Hospital,Rahim-Yar-Khan
Dr Masood Clinic,Rahim-Yar-Khan
Dr. Kaynat Physiotherapy Skin & Laser Clinic,Rahim-Yar-Khan
National Hospital And Cardiac Complex,Rahim-Yar-Khan
Relax Homeo Clinic,Rahim-Yar-Khan
Daar Us Salam Medical Center,Rahim-Yar-Khan
Hamza Medicare Hospital,Rahim-Yar-Khan
Healthcare Physiotherapy & Aesthetic Centre,Rahim-Yar-Khan
Dental Care & Implant Clinic Rahim Yar Khan,Rahim-Yar-Khan
Neurology Center,Rahim-Yar-Khan
Abdullah Neuro Surgery Clinic,Rahim-Yar-Khan
Al Shifa Physiotherapy Clinic,Rahim-Yar-Khan
Al-Noor Hospital And Eye Complex,Rahim-Yar-Khan
Clear Vision Eye Clinic And Optical Center,Rahim-Yar-Khan
Hafeez Eye Hospital,Rahim-Yar-Khan
Ismail Hospital,Rahim-Yar-Khan
Kamran Hospital,Rahim-Yar-Khan
Pastuna Medical Complex Hospital,Rahim-Yar-Khan
Rabbani Medical Complex Hospital,Rahim-Yar-Khan
Sadia Omer Clinic,Rahim-Yar-Khan
Tahir Heart Clinic,Rahim-Yar-Khan
Moosa Skin & Laser Clinic,Rahim-Yar-Khan
Rehman Family Hospital,Rahim-Yar-Khan
Al Rehman Hospital & Ultrasound Center,Rahim-Yar-Khan
Dental Zone Clinic,Rahim-Yar-Khan
Fouji Foundation Hospital,Rahim-Yar-Khan
Harris Hospita Hospital,Rahim-Yar-Khan
Harris Hospital,Rahim-Yar-Khan
Sheikh Zayed Hospital,Rahim-Yar-Khan
Naveed Clinic,Rahim-Yar-Khan
Al Riaz Homeopathic Clinic,Rahim-Yar-Khan
Hamdani Hospital Rahimyar Khan,Rahim-Yar-Khan
Hospital Road,Rahim-Yar-Khan
24/B Hospital,Rahim-Yar-Khan
4-Model Town Hospital,Rahim-Yar-Khan
Abdullah Hospital,Rahim-Yar-Khan
Abu Zahbi Road Hospital,Rahim-Yar-Khan
Alnoor Hospital,Rahim-Yar-Khan
C-19 Hospital,Rahim-Yar-Khan
Iqbal Medical Complex Khan Bela Hospital,Rahim-Yar-Khan
Iqbalabad Hospital,Rahim-Yar-Khan
Junaid Medicare Hospital,Rahim-Yar-Khan
Khan Plaza Chowk Hospital,Rahim-Yar-Khan
Rahim Yar Khan Diagnostic Hospital,Rahim-Yar-Khan
Shafqat Clinic,Rahim-Yar-Khan
Shahid Park Hospital,Rahim-Yar-Khan
Usman Eye Clinic,Rahim-Yar-Khan
Mukhtar Medicares Hospital,Rahim-Yar-Khan
Al Murtaza Hospital,Rahim-Yar-Khan
Alshifa Children Hospital,Rahim-Yar-Khan
Bakhtawar Memorial Hospital,Rahim-Yar-Khan
Al Muslim Hospital,Rahim-Yar-Khan
Osama Poly Clinic,Rahim-Yar-Khan
Hashmi Homeopathic Clinic,Rahim-Yar-Khan
Chest Clinic,Rahim-Yar-Khan
Prof. Dr. Irfan Ahmad (Gastroentrologist) Hospital,Rahim-Yar-Khan
Waseem Dental Clinic,Rahim-Yar-Khan
Hamza Homeo Clinic And Research Center,Rahim-Yar-Khan
Mjs Fitness Clinic,Rahim-Yar-Khan
Al Khidmat Medical Complex Hospital,Rahim-Yar-Khan
Ghazala Dental Clinic,Rahim-Yar-Khan
Mahmood Physiotherapy Clinic,Rahim-Yar-Khan
Speech Therapy Clinic,Rahim-Yar-Khan
Rehman Hopsital Hospital,Rahim-Yar-Khan
Dr Zain Ali Clinic,Renala-Khurd
Al-Abeer Medical Center,Riyadh
Reet Color Doppler Ultrasound Hospital,Shahdadpur
Health Care Center,Shahkot
Ahmed Medical Center,Shahkot
Maqsood Dental Clinic,Shahkot
Liaqat Children And Medical Center Shahkot,Shahkot
Javed Medical Center Hazara,Swat
Thq Hospital Kabal Swat,Swat
Yameen Medical Center Kabal,Swat
Hassan Medical Complex Hospital,Swat
Hassan Medical Complex Kabal Swat. Hospital,Swat
"Upper Swat General Hospital, Khwaza Khela Swat",Swat
Ashfaq Neuro Psychiatric & General Hospital,Swat
Sherzada Medical Center,Swat
Sher Zada Medical Center,Swat
"Shifa Medical Center (Matta Chowk, Swat)",Swat
Ibrahimi Hospital,Swat
Swat Institute Of Rehabilitation & Medical Sciences Hospital,Swat
Professor Said Khetab Orthopedic And Medical Center,Swat
Al Khair Medical Center,Swat
The Best Skin & Laser Clinic,Swat
Ali Homoeopathic General Hospital And Research Center,Swat
Sikandar Medical Infirmary Hospital,Swat
Bharosa Health Care Center,Swat
Mir Khel Medical And Surgical Plaza Hospital,Swat
Zaman Dental Care Hospital,Swat
Jalil International Hospital,Swat
Umer Family Hospital,Swat
Azeem Homeopathic Clinic,Swat
Hazara Medical Centre,Swat
Dr. Muhammad Hasnain Dental Clinic,Swat
Luqman International Hospital,Swat
Dr Ihsan Ullah Clinic,Swat
Roshan Specialised Hospital,Swat
Continental General Hospital Swat,Swat
Dr Ihsan Hair Restoration & Cosmetic Clinic??,Swat
Dr. Tariq Specialized Dentistry Clinic,Swat
Ahmad Dental & Maxillofacial Surgery Clinic,Swat
Shifa Medical Center,Swat
Swat Dentistry Clinic,Swat
Al-Khair Medical Center,Swat
National Central Hospital,Swat
Swat Center For Blood Diseases,Swat
Seena Medical Center,Swat
Royal Dental Clinic,Swat
City Hospital Talagang,Talagang
Asaad Dental Surgery Hospital,Talagang
Alkaram Hospital,Talagang
Bilal Eye Hospital,Talagang
Shawez Dental Clinic,Talagang
Thq City Hospital,Talagang
Siddiqui Consulting Clinic,Tando-Muhammad-Khan
Memon Hospital,Tando-Muhammad-Khan
Dr. Riaz Ud Din Clinic,Tank-City
Jawad Medical Clinic,Tarbela
Cmh Tarbela Hospital,Tarbela
Dental Comfort Hospital,Toba-Tek-Singh
Sadaat Hospital,Toba-Tek-Singh
Ali Homoeopathic Clinic,Toba-Tek-Singh
Ali Medicare Complex Hospital,Toba-Tek-Singh
Al Malik Foundation Hospital,Toba-Tek-Singh
Govt. Eye Cum General Hospital,Toba-Tek-Singh
Prime Hospital Gojra,Toba-Tek-Singh
Family Health Clinic,Toba-Tek-Singh
Denta Smile Hospital,Toba-Tek-Singh
Ashraf Medical Complex Hospital,Toba-Tek-Singh
Smile Child Care Center,Toba-Tek-Singh
Darulshifa Hospital,Toba-Tek-Singh
Qadria Medical Complex Hospital,Toba-Tek-Singh
Zahid Medical Complex Hospital,Toba-Tek-Singh
Masood Homeopathic Specialist Clinic,Toba-Tek-Singh
Hamza Medical Centre,Toba-Tek-Singh
Dua Medical Complex Hospital,Toba-Tek-Singh
Physical Therapy And Pain Management Clinic,Toba-Tek-Singh
Doctor Sadia Nadeem Ultrasound Center,Toba-Tek-Singh
Alkhidmat Medical Center,Toba-Tek-Singh
Saad Medicare Clinic,Toba-Tek-Singh
Rameen Medical Complex Hospital,Toba-Tek-Singh
Dhq Hospital,Toba-Tek-Singh
Sarwar Foundation Hospital Rajana,Toba-Tek-Singh
Zainab Rasool Hospital,Toba-Tek-Singh
Al-Mumtaz Hospital,Toba-Tek-Singh
Shafi Welfare Hospital,Toba-Tek-Singh
Hope Medical Center Umarkot,Umarkot
Malir Medical Centre,Umarkot
Muzaffar Khan Clinic,Wah-Cantt
City Hospital Wah Cantt,Wah-Cantt
Spinex Hospital,Wah-Cantt
Dr. Muhammad Mazahir Alam Hospital,Wah-Cantt
Alain Hospital,Wah-Cantt
Wah Cardic Centre,Wah-Cantt
Arthritis & Diabetes Center,Wah-Cantt
Grapes Pharmacy Hospital,Wah-Cantt
Medic Clinics,Wah-Cantt
Uppal Clinic,Wah-Cantt
Noori Hospital,Wah-Cantt
Jinnah Pharmacy Hospital,Wah-Cantt
Muzaffar Khan Medical Hospital And Dental Surgery,Wah-Cantt
Qadri Homoeopathic Pharmacy And Clinic Branch 2,Wah-Cantt
Al Aain Hospital,Wah-Cantt
Hands On Physiotherapy Centre By Dr.Maria Intikhab,Wah-Cantt
Pak Family Hospital,Wah-Cantt
Al Rehman Pharmacy Hospital,Wah-Cantt
Health Science Clinic,Wah-Cantt
Begum Haseena Memorial Hospital,Wah-Cantt
Happy Teeth Wahh Cantt Hospital,Wah-Cantt
Sab Ka Dentist Hospital,Wah-Cantt
Usama Herbal & Hijama Clinic,Wah-Cantt
City Clinics,Wah-Cantt
Pof Hospital,Wah-Cantt
Shamshad Aslam Hospital,Wah-Cantt
Idc Aslam Uppal Diagnostic Centre Wah Cantt,Wah-Cantt
Eman Hospital Wah Cantt,Wah-Cantt
The Care Clinic,Wah-Cantt
Al Elaj Hospital,Wah-Cantt
Wah Medical College Hospital,Wah-Cantt
Izzat Ali Shah Hospital,Wah-Cantt
Farooq Medical And Dental Clinic,Wah-Cantt
Home Visits (Wah Cantt) Hospital,Wah-Cantt
Medicine Corner Hospital,Wah-Cantt
Platinum Smile And Aesthetics Hospital,Wah-Cantt
The Care Clinic/Max Health Pharmacy,Wah-Cantt
Dr Assad Clinic And Diagnostics,Kashmor
Shan Homeopathic Clinic,Kashmor
Huma Hospital,Kayseri
Baskent University Hospital,Konya
Ahmad Medical And Surgical Hospital,Kot-Addu
Dr Sara Clinic,Kot-Addu
Advanced Orthopedics Clinic (Kot Addu),Kot-Addu
Baloch Health Care Clinic,Kot-Addu
Niaz Medical Complex Hospital,Kot-Addu
Ali Dental Care Hospital,Kot-Addu
Taimur Medical Complex Hospital,Kot-Addu
Polyclinic Hospital,Mandi-Bahauddin
Gondal Hospital,Mandi-Bahauddin
Dr. Rida Fatima Physiotherapy Clinic,Mandi-Bahauddin
Cheema Hospital,Mandi-Bahauddin
Alghani Hospital And Sugar Canter,Mandi-Bahauddin
Suleman Chest Care Hospital,Mandi-Bahauddin
Health Check Physiotherapy Clinic,Mandi-Bahauddin
Dr.Habib Clinic,Mandi-Bahauddin
Chattha Heart Center,Mandi-Bahauddin
Saleem Hospital,Mandi-Bahauddin
Rehmat Khan Memorial Hospital,Mandi-Bahauddin
Shahzaib Hospital Mandi Bahaudin,Mandi-Bahauddin
Bashir Begum Hospital,Mandi-Bahauddin
Anmol Hospital Phalia,Mandi-Bahauddin
Skin Lounge Clinic,Mandi-Bahauddin
Waris Hospital,Mandi-Bahauddin
Idraak Centre Of Psychiatry,Mandi-Bahauddin
Zia Fatima Hospital,Mandi-Bahauddin
Khokhar Hospital,Mandi-Bahauddin
Hospeera International Hospital,Mandi-Bahauddin
Habib Hospital,Mandi-Bahauddin
Rahat Hospital,Mandi-Bahauddin
Hope Children Hospital,Mandi-Bahauddin
Shahzaib Surgical Hospital,Mandi-Bahauddin
Tarar Hospital (New),Mandi-Bahauddin
Health Check Physiotherapy Clinic Qadirabad Branch,Mandi-Bahauddin
M. Khan Butt Memorial Hospital,Mandi-Bahauddin
Tahir Health Care And Research Centre,Mandi-Bahauddin
Tarar Hospital,Mandi-Bahauddin
Mumtaz Health Care Hospital,Mandi-Bahauddin
Abid Hospital,Mian-Channu
Munam Homeo Clinic And Store,Mian-Channu
Zubair Healthcare Center,Mian-Channu
Hafeez Specialist Hospital,Mian-Channu
Yasin Mumtaz Hospital,Mian-Channu
Alhussain Aamir Medical Center,Mian-Channu
Shifa Hospital,Mian-Channu
Alnoor Medicle Centre,Mirpur-Khas
Ali Medicare Hospital,Mirpur-Khas
Mehboob Ali Child Care Clinic,Mirpur-Khas
Al Shifa Health Care Clinic (Mirpur Khas),Mirpur-Khas
Akhtar Medicare Hospital,Mirpur-Khas
Latif Dental And Medicare Center,Mirpur-Khas
Zainab Eye & Dental Hospital,Mirpur-Khas
Ali Murad Shah Medical Center Mithi,Mithi
Poly Dental Clinic,Mithi
Rehmania Hospital,Dera-Ismail-Khan
Rauf Medical Complex Hospital,Dera-Ismail-Khan
Mufti Mehmood Memorial Teaching Hospital,Dera-Ismail-Khan
Jinnah Medical Complex (Dik) Hospital,Dera-Ismail-Khan
Ali Surgical Hospital,Dera-Ismail-Khan
Shifa Ali Hospital,Dera-Ismail-Khan
Shuja Hospital,Dera-Ismail-Khan
Dera Skin Clinic,Dera-Ismail-Khan
Khyber Medical Complex Hospital,Dera-Ismail-Khan
Misbah International Hospital,Dera-Ismail-Khan
Al Fateh Medical Center,Dera-Ismail-Khan
Hanif Eye Care And Optical Center,Dunyapur
Ramzan General Hospital,Dunyapur
Emaan Hospital,Gujar-Khan
Tayyab Dental Surgery Hospital,Gujar-Khan
Al Abbas Medical & Surgical Hospital,Gujar-Khan
Citi Nursing Home Hospital,Gujar-Khan
The Jeevan Dental Care Hospital,Gujar-Khan
Almas Clinic Al Razzi,Gujar-Khan
Yeditepe University Hospital,Istanbul
Memorial Hizmet Hospital,Istanbul
Turkish Kidney Foundation Hospital Services,Istanbul
Bakirkoy Psychiatric Hospital,Istanbul
Liv Hospital Group,Istanbul
Memorial Hospital Ankara,Istanbul
Health Line Hospital,Istanbul
Istinye Universite Hospital,Istanbul
Mediheal Hospital,Istanbul
Anadoglu Medical Center,Istanbul
Acibadem Hospital,Istanbul
Ozel Net Goz Merkezi (Specialized Eye Center),Istanbul
Medistate Kavacik Hospital,Istanbul
Top Clinic Turkey,Istanbul
Florence Nightingale Hospital,Istanbul
Istanbul Cerrahi Hospital,Istanbul
Ozel American Hospital,Istanbul
Surp Agop Hospital,Istanbul
Okan University Hospital,Istanbul
Hisar Hospital Intercontinental,Istanbul
Baåÿkent University Hospital,Izmir
Netgoz Eye Hospital,Izmir
Usman Surgical Hospital,Kamoke
Shifa Eye Hospital Kamoke,Kamoke
Al Shifa Surgical Hospital,Kamoke
Kamoki Family Hospital,Kamoke
Razia Shafi Hospital,Kamoke
Siddique Medicare Hospital,Kamoke
Muhammad Nazeer Hospital,Kamoke
Mehran Medical Centr Hospital,Kandiaro
Sukkur Ct And Infertility Hospital,Kandiaro
Elegent Medical Derma Care Center,Alipur
Name Elegent Medical Derma Care Center,Alipur
Khan Hospital Alipur,Alipur
Al Razi Childern Clinic,Alipur
Kashaf Clinic,Baden
Bhatti Multispecialty Medical Center,Baden
Indus Hospital Badin,Baden
Al-Shifa Medical Center,Bajaur-Agency
Zahidi Hospital,Bhimber
Buner Medical Complex Daggar Hospital,Buner
Buner Children Hospital Shnai,Buner
Buner Medical Centre,Buner
Kulsum National Hospital,Buner
Shifa Medical Complex Hospital,Buner
Asad Medioac Iitthead Hospital,Dargai
"City General Hospital, Dargai",Dargai
Al-Karim Surgical And Medical Complex Hospital,Dera-Ghazi-Khan
Dg Eye & General Hospital,Dera-Ghazi-Khan
Hussain Surgical Hospital,Dera-Ghazi-Khan
Glaxy Diagnostic Centre,Dera-Ghazi-Khan
Allied Surgical Hospital,Dera-Ghazi-Khan
Alif Dental Center,Dera-Ghazi-Khan
Prime Dental Clinic,Dera-Ghazi-Khan
Roshnak Physiotherapy Center,Dera-Ghazi-Khan
Al-Noor Health Care Clinic,Dera-Ghazi-Khan
Samina Hospital,Dera-Ghazi-Khan
Alkareem Family Care Hospital,Dera-Ghazi-Khan
Ghazi Hospital And Pharmacy,Dera-Ghazi-Khan
Naseem Fatima Hospital,Dera-Ghazi-Khan
Karim Medical Complex Hospital,Dera-Ghazi-Khan
City Hospital Dg Khan,Dera-Ghazi-Khan
Civil Hospital Fort Munro,Dera-Ghazi-Khan
Hamza Surgical Hospital,Dera-Ghazi-Khan
Iqbal Diabetes Clinic,Dera-Ghazi-Khan
Al Shifa Surgical Hospital Dg Khan,Dera-Ghazi-Khan
Hussain Clinical Laboratory,Dera-Ghazi-Khan
Rehman Rehab Center,Dera-Ghazi-Khan
Buzdar Hospital,Dera-Ghazi-Khan
Dhq Hospital Dera Ghazi Khan,Dera-Ghazi-Khan
Ibrahim Clinic And Fayyaz Ultrasound Centre,Dera-Ghazi-Khan
Al-Karim Family Care Hospital,Dera-Ghazi-Khan
Yousaf Surgical Hospital & Maternity Home,Dera-Ghazi-Khan
Elahi Hospital,Dera-Ghazi-Khan
Jinnah Surgical Complex Diagnostic And Colour Doppler Ultrasound Center,Dera-Ghazi-Khan
Thq Hospital Kot Chutta,Dera-Ghazi-Khan
Thq Hospital Koth Chutta,Dera-Ghazi-Khan
Ghazi National Hospital D.G Khan,Dera-Ghazi-Khan
Ghazi National Hospital,Dera-Ghazi-Khan
Fatima Kidney Hospital,Dera-Ghazi-Khan
National Polyclinic,Dera-Ghazi-Khan
Azeem Surgical Hospital Dg Khan,Dera-Ghazi-Khan
"Men,S Health Clinic And Kidney Care Center",Dera-Ghazi-Khan
Shifa Dental Clinic (Dg Khan),Dera-Ghazi-Khan
Abdul Majeed Khosa Medical And Surgical Complex Hospital,Dera-Ghazi-Khan
Malik Asghar Polyclinic,Dera-Ghazi-Khan
Fakhar Ud Din Heart Care Center,Dera-Ghazi-Khan
Nishtar Pcr Lab Hospital,Dera-Ghazi-Khan
Civil Hospital Sakhi Sarwar,Dera-Ghazi-Khan
Mustafa Medical Center,Dera-Ghazi-Khan
Niaz Hospital,Dera-Ghazi-Khan
Bloch Clinic,Dera-Ghazi-Khan
Natural Fittnes Clinic,Dera-Ghazi-Khan
Thq Hospital Taunsa Shareef,Dera-Ghazi-Khan
Nasir Health Services Hospital,Dera-Ghazi-Khan
