province,district,total_population,number_of_hospitals,total_doctors,number_of_schools,avg_boys_enrolled_pct,avg_girls_enrolled_pct
BALOCHISTAN,awaran,122011.0,0.0,0.0,1068.0,85.38,14.620000000000001
BALOCHISTAN,barkhan,171556.0,0.0,0.0,2436.0,93.2475,6.755
BALOCHISTAN,chagai,226008.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,derabugti,312603.0,0.0,0.0,1424.0,97.6075,2.3925
BALOCHISTAN,gwadar,263514.0,0.0,0.0,1092.0,71.8275,28.175
BALOCHISTAN,harnai,97017.0,0.0,0.0,676.0,87.02250000000001,12.9775
BALOCHISTAN,jaffarabad,513813.0,0.0,0.0,2264.0,82.1175,17.8825
BALOCHISTAN,jhalmagsi,149225.0,0.0,0.0,1188.0,88.775,11.225
BALOCHISTAN,kachhi,237030.0,0.0,0.0,1812.0,92.945,7.055
BALOCHISTAN,kalat,412232.0,0.0,0.0,1908.0,70.1375,29.865
BALOCHISTAN,kech,909116.0,3.0,111.0,2656.0,67.4725,32.53
BALOCHISTAN,kharan,156152.0,0.0,0.0,928.0,75.3175,24.685000000000002
BALOCHISTAN,khuzdar,802207.0,4.0,1111.0,2904.0,68.54499999999999,31.455000000000002
BALOCHISTAN,killaabdullah,757578.0,0.0,0.0,2044.0,98.26,1.74
BALOCHISTAN,killasaifullah,342814.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,kohlu,214350.0,0.0,0.0,1784.0,96.35,3.65
BALOCHISTAN,lasbela,574292.0,0.0,0.0,2424.0,73.7525,26.2475
BALOCHISTAN,lehri,118046.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,loralai,397400.0,3.0,121.0,2892.0,76.5275,23.4725
BALOCHISTAN,mastung,266461.0,0.0,0.0,1512.0,73.7525,26.25
BALOCHISTAN,musakhel,167017.0,0.0,0.0,1216.0,85.5125,14.4875
BALOCHISTAN,nasirabad,490538.0,0.0,0.0,2032.0,99.02250000000001,0.9775
BALOCHISTAN,nushki,178796.0,0.0,0.0,952.0,68.3075,31.692500000000003
BALOCHISTAN,panjgur,316385.0,0.0,0.0,1572.0,78.8775,21.125
BALOCHISTAN,pishin,736481.0,0.0,0.0,3944.0,79.0775,20.9225
BALOCHISTAN,quetta,2275699.0,146.0,0.0,2288.0,65.1725,34.83
BALOCHISTAN,sherani,153116.0,0.0,0.0,736.0,95.3675,4.635
BALOCHISTAN,sibi,135572.0,0.0,0.0,1056.0,66.67,33.33
BALOCHISTAN,sohbatpur,200538.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,washuk,176206.0,0.0,0.0,752.0,83.77250000000001,16.23
BALOCHISTAN,zhob,310544.0,0.0,0.0,1396.0,83.435,16.565
BALOCHISTAN,ziarat,160422.0,0.0,0.0,1056.0,79.6725,20.330000000000002
FATA,bajaur,1093684.0,0.0,0.0,0.0,0.0,0.0
FATA,bannu,43114.0,9.0,0.0,7636.0,70.76875,29.23125
FATA,dikhan,68556.0,0.0,0.0,0.0,0.0,0.0
FATA,khyber,986973.0,0.0,0.0,0.0,0.0,0.0
FATA,kohat,118578.0,19.0,0.0,4108.0,84.15875,15.841249999999999
FATA,kurram,619553.0,0.0,0.0,2480.0,78.975,21.0275
FATA,lakkimarwat,26359.0,0.0,0.0,4948.0,81.91375,18.0875
FATA,mohmand,466984.0,0.0,0.0,0.0,0.0,0.0
FATA,northwaziristan,543254.0,0.0,0.0,0.0,0.0,0.0
FATA,orakzai,254356.0,0.0,0.0,0.0,0.0,0.0
FATA,peshawar,64691.0,227.0,0.0,6268.0,79.15875,20.84375
FATA,southwaziristan,674065.0,0.0,0.0,0.0,0.0,0.0
FATA,tank,36389.0,1.0,0.0,2628.0,76.01625,23.985
FEDERAL CAPITAL,islamabad,2001579.0,803.0,0.0,1564.0,56.475,43.525
KHYBER PAKHTUNKHWA,abbottabad,1332912.0,113.0,0.0,7304.0,63.495000000000005,36.5075
KHYBER PAKHTUNKHWA,bannu,1167892.0,9.0,0.0,7636.0,70.76875,29.23125
KHYBER PAKHTUNKHWA,batagram,476612.0,0.0,0.0,0.0,0.0,0.0
KHYBER PAKHTUNKHWA,buner,897319.0,5.0,0.0,11548.0,77.05625,22.945
KHYBER PAKHTUNKHWA,charsadda,1616198.0,23.0,0.0,4896.0,71.53,28.47
KHYBER PAKHTUNKHWA,chitral,447362.0,0.0,0.0,3276.0,68.43,31.57
KHYBER PAKHTUNKHWA,deraismailkhan,1627132.0,11.0,0.0,6316.0,74.255,25.7475
KHYBER PAKHTUNKHWA,hangu,518798.0,1.0,3.0,1600.0,82.385,17.6175
KHYBER PAKHTUNKHWA,haripur,1003031.0,27.0,0.0,4940.0,61.82,38.18
KHYBER PAKHTUNKHWA,karak,706299.0,0.0,0.0,3816.0,63.865,36.135000000000005
KHYBER PAKHTUNKHWA,kohat,993874.0,19.0,0.0,4108.0,84.15875,15.841249999999999
KHYBER PAKHTUNKHWA,kohistan,784711.0,0.0,0.0,0.0,0.0,0.0
KHYBER PAKHTUNKHWA,lakkimarwat,876182.0,0.0,0.0,4948.0,81.91375,18.0875
KHYBER PAKHTUNKHWA,lowerdir,1435917.0,10.0,0.0,6240.0,70.275,29.727500000000003
KHYBER PAKHTUNKHWA,malakandprotectedarea,720295.0,0.0,0.0,0.0,0.0,0.0
KHYBER PAKHTUNKHWA,mansehra,1556460.0,22.0,0.0,9216.0,68.0175,31.9825
KHYBER PAKHTUNKHWA,mardan,2373061.0,48.0,0.0,7184.0,65.2325,34.769999999999996
KHYBER PAKHTUNKHWA,nowshera,1518540.0,19.0,0.0,3904.0,70.125,29.8775
KHYBER PAKHTUNKHWA,peshawar,4269079.0,227.0,0.0,6268.0,79.15875,20.84375
KHYBER PAKHTUNKHWA,shangla,757810.0,0.0,0.0,2892.0,86.6725,13.3275
KHYBER PAKHTUNKHWA,swabi,1624616.0,23.0,0.0,5256.0,69.6425,30.36
KHYBER PAKHTUNKHWA,swat,2309570.0,42.0,0.0,6528.0,72.295,27.7075
KHYBER PAKHTUNKHWA,tank,391885.0,1.0,0.0,2628.0,76.01625,23.985
KHYBER PAKHTUNKHWA,torghar,171395.0,0.0,0.0,0.0,0.0,0.0
KHYBER PAKHTUNKHWA,upperdir,946421.0,0.0,0.0,3840.0,82.5775,17.4225
PUNJAB,attock,1883556.0,37.0,0.0,11208.0,64.6975,35.30375
PUNJAB,bahawalnagar,2981919.0,18.0,0.0,9612.0,61.235,38.7675
PUNJAB,bahawalpur,3668106.0,224.0,0.0,7892.0,63.480000000000004,36.5225
PUNJAB,bhakkar,1650518.0,15.0,0.0,5380.0,70.3775,29.6225
PUNJAB,chakwal,1495982.0,33.0,0.0,18672.0,63.915000000000006,36.0875
PUNJAB,chiniot,1369740.0,11.0,0.0,2772.0,75.3575,24.6425
PUNJAB,deraghazikhan,2872201.0,48.0,0.0,7128.0,71.6125,28.39
PUNJAB,faisalabad,7874790.0,362.0,0.0,9304.0,54.0225,45.98
PUNJAB,gujranwala,5014196.0,184.0,0.0,6836.0,58.38,41.62
PUNJAB,gujrat,2756110.0,102.0,0.0,5948.0,62.7475,37.2525
PUNJAB,hafizabad,1156957.0,25.0,0.0,2924.0,61.48,38.5225
PUNJAB,jhang,2744085.0,25.0,0.0,6620.0,63.34,36.6625
PUNJAB,jhelum,1222650.0,33.0,0.0,3348.0,61.605000000000004,38.3975
PUNJAB,kasur,3454996.0,35.0,0.0,6012.0,58.7575,41.245
PUNJAB,khanewal,2921986.0,24.0,0.0,5208.0,63.07,36.93
PUNJAB,khushab,1281299.0,19.0,0.0,3860.0,67.185,32.815
PUNJAB,lahore,11126285.0,2315.0,0.0,4960.0,60.315,39.6875
PUNJAB,layyah,1824230.0,23.0,0.0,6664.0,67.0,33.0
PUNJAB,lodhran,1700620.0,16.0,0.0,3316.0,65.1025,34.8975
PUNJAB,mandibahauddin,1593292.0,30.0,0.0,3412.0,56.2375,43.7625
PUNJAB,mianwali,1546094.0,12.0,0.0,5724.0,69.86250000000001,30.1375
PUNJAB,multan,4745109.0,402.0,0.0,5660.0,62.6725,37.3275
PUNJAB,muzaffargarh,4325483.0,42.0,0.0,8332.0,70.5525,29.45
PUNJAB,nankanasahib,1356374.0,10.0,0.0,2968.0,68.405,31.597499999999997
PUNJAB,narowal,1709757.0,15.0,0.0,5136.0,59.525,40.475
PUNJAB,okara,3039139.0,55.0,0.0,6276.0,59.7025,40.3
PUNJAB,pakpattan,1823687.0,9.0,0.0,3648.0,69.455,30.545
PUNJAB,rahimyarkhan,4814006.0,147.0,0.0,12968.0,65.65,34.35
PUNJAB,rajanpur,1995958.0,5.0,11221.0,4624.0,84.47999999999999,15.522499999999999
PUNJAB,rawalpindi,5405633.0,577.0,0.0,7904.0,58.06,41.94
PUNJAB,sahiwal,2517560.0,80.0,0.0,4812.0,58.7375,41.265
PUNJAB,sargodha,3703588.0,127.0,0.0,8120.0,56.975,43.025
PUNJAB,sheikhupura,3460426.0,44.0,0.0,5736.0,55.2675,44.735
PUNJAB,sialkot,3893672.0,147.0,0.0,8012.0,60.2025,39.7975
PUNJAB,tobateksingh,2190015.0,44.0,0.0,4828.0,62.0225,37.980000000000004
PUNJAB,vehari,2897446.0,30.0,0.0,6020.0,62.275,37.725
SINDH,badin,1804516.0,0.0,0.0,12208.0,76.58,23.42
SINDH,dadu,1550266.0,0.0,0.0,0.0,0.0,0.0
SINDH,ghotki,1647239.0,0.0,0.0,7840.0,78.7275,21.275000000000002
SINDH,hyderabad,2201079.0,203.0,0.0,3516.0,64.6,35.4
SINDH,jacobabad,1006297.0,1.0,1.0,5760.0,74.3825,25.6175
SINDH,jamshoro,993142.0,7.0,0.0,3148.0,78.62,21.380000000000003
SINDH,kambarshahdadkot,1341042.0,0.0,0.0,0.0,0.0,0.0
SINDH,karachicentral,2972639.0,0.0,0.0,0.0,0.0,0.0
SINDH,karachieast,2909921.0,0.0,0.0,0.0,0.0,0.0
SINDH,karachisouth,1791751.0,0.0,0.0,0.0,0.0,0.0
SINDH,karachiwest,3914757.0,0.0,0.0,0.0,0.0,0.0
SINDH,kashmor,1089169.0,0.0,0.0,0.0,0.0,0.0
SINDH,khairpur,2405523.0,0.0,0.0,0.0,0.0,0.0
SINDH,korangi,2457019.0,0.0,0.0,0.0,0.0,0.0
SINDH,larkana,1524391.0,28.0,0.0,4672.0,74.2125,25.79
SINDH,malir,2008901.0,0.0,0.0,0.0,0.0,0.0
SINDH,matiari,769349.0,1.0,0.0,3704.0,73.67750000000001,26.322499999999998
SINDH,mirpurkhas,1505876.0,7.0,3111211.0,8664.0,74.3675,25.6325
SINDH,naushahroferoze,1612373.0,2.0,0.0,0.0,0.0,0.0
SINDH,sanghar,2057057.0,1.0,3.0,12496.0,78.2475,21.755000000000003
SINDH,shaheedbenazirabad,1612847.0,23.0,0.0,10504.0,73.1725,26.83
SINDH,shikarpur,1231481.0,0.0,0.0,5200.0,73.7275,26.2725
SINDH,sujawal,781967.0,0.0,0.0,0.0,0.0,0.0
SINDH,sukkur,1487903.0,9.0,111613111.0,5004.0,76.535,23.4675
SINDH,tandoallahyar,836887.0,0.0,0.0,3324.0,76.52499999999999,23.475
SINDH,tandomuhammadkhan,677228.0,2.0,11.0,4068.0,76.5925,23.4075
SINDH,tharparkar,1649661.0,2.0,13.0,0.0,0.0,0.0
SINDH,thatta,979817.0,0.0,0.0,0.0,0.0,0.0
SINDH,umerkot,1073146.0,0.0,0.0,8904.0,77.7425,22.2575
